"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15309","TC_2: Validate search destination by clicking the search button (Home page hero) - USA","","Wed May 21 08:33:13 COT 2025","passed","Wed May 21 08:33:28 COT 2025","","Search destinations flow","",""
"","2163","TC_10: Validate section - FAQs","","Wed May 21 08:38:32 COT 2025","passed","Wed May 21 08:38:34 COT 2025","","Home page sections validation","",""
"","1628","TC_3: Validate section - Destination flags","","Wed May 21 08:37:48 COT 2025","passed","Wed May 21 08:37:50 COT 2025","","Home page sections validation","",""
"","7831","TC_5: Validate empty shopping cart","","Wed May 21 08:45:05 COT 2025","passed","Wed May 21 08:45:13 COT 2025","","Shopping cart actions flow (Open/Close/Add/Remove/Empty)","",""
"","17602","TC_3: Validate remove quantity of the same product","","Wed May 21 08:44:39 COT 2025","passed","Wed May 21 08:44:57 COT 2025","","Shopping cart actions flow (Open/Close/Add/Remove/Empty)","",""
"","12948","TC_2: Validate login button in navigation bar","","Wed May 21 08:32:39 COT 2025","passed","Wed May 21 08:32:51 COT 2025","","Navigation bar feature flow","",""
"","16291","TC_2: Validate search destination by clicking the search button (Home page hero) - Global","","Wed May 21 08:35:28 COT 2025","passed","Wed May 21 08:35:44 COT 2025","","Search destinations flow","",""
"","3035","TC_1: Validate frequently asked questions availability on home page","","Wed May 21 08:37:30 COT 2025","passed","Wed May 21 08:37:33 COT 2025","","Frequently aks feature flow","",""
"","24362","TC_3: Validate credit card form availability","","Wed May 21 08:43:13 COT 2025","passed","Wed May 21 08:43:37 COT 2025","","Validate Checkout availability","",""
"","238082","Validate change to all available languages in Home page","","Wed May 21 08:18:44 COT 2025","passed","Wed May 21 08:22:42 COT 2025","","Changue Language feature flow","",""
"","11613","TC_6: Validate section - Benefits","","Wed May 21 08:37:55 COT 2025","passed","Wed May 21 08:38:06 COT 2025","","Home page sections validation","",""
"","2626","TC_8: Validate section - Payment options","","Wed May 21 08:38:17 COT 2025","passed","Wed May 21 08:38:19 COT 2025","","Home page sections validation","",""
"","111323","TC_1: Validate change to all available currencies in PDP","","Wed May 21 08:16:40 COT 2025","passed","Wed May 21 08:18:31 COT 2025","","Change Currency feature flow","",""
"","10332","TC_1: Validate search destination by hitting the enter button (Home page hero) - Europe","","Wed May 21 08:34:11 COT 2025","passed","Wed May 21 08:34:21 COT 2025","","Search destinations flow","",""
"","7267","TC_2: Validate frequently asked questions opened on home page","","Wed May 21 08:37:33 COT 2025","passed","Wed May 21 08:37:40 COT 2025","","Frequently aks feature flow","",""
"","1969","TC_5: Validate section - How does it works","","Wed May 21 08:37:53 COT 2025","passed","Wed May 21 08:37:54 COT 2025","","Home page sections validation","",""
